PassengerId,Pclass,Sex,Survived
892,3,male,0
893,3,female,1
894,2,male,0
895,3,male,0
896,3,female,1
897,3,male,0
898,3,female,1
899,2,male,0
900,3,female,1
901,3,male,0
902,3,male,0
903,1,male,0
904,1,female,1
905,2,male,0
906,1,female,1
907,2,female,1
908,2,male,0
909,3,male,0
910,3,female,1
911,3,female,1
912,1,male,0
913,3,male,0
914,1,female,1
915,1,male,0
916,1,female,1
917,3,male,0
918,1,female,1
919,3,male,0
920,1,male,0
921,3,male,0
922,2,male,0
923,2,male,0
924,3,female,1
925,3,female,1
926,1,male,0
927,3,male,0
928,3,female,1
929,3,female,1
930,3,male,0
931,3,male,0
932,3,male,0
933,1,male,0
934,3,male,0
935,2,female,1
936,1,female,1
937,3,male,0
938,1,male,0
939,3,male,0
940,1,female,1
941,3,female,1
942,1,male,0
943,2,male,0
944,2,female,1
945,1,female,1
946,2,male,0
947,3,male,0
948,3,male,0
949,3,male,0
950,3,male,0
951,1,female,1
952,3,male,0
953,2,male,0
954,3,male,0
955,3,female,1
956,1,male,0
957,2,female,1
958,3,female,1
959,1,male,0
960,1,male,0
961,1,female,1
962,3,female,1
963,3,male,0
964,3,female,1
965,1,male,0
966,1,female,1
967,1,male,0
968,3,male,0
969,1,female,1
970,2,male,0
971,3,female,1
972,3,male,0
973,1,male,0
974,1,male,0
975,3,male,0
976,2,male,0
977,3,male,0
978,3,female,1
979,3,female,1
980,3,female,1
981,2,male,0
982,3,female,1
983,3,male,0
984,1,female,1
985,3,male,0
986,1,male,0
987,3,male,0
988,1,female,1
989,3,male,0
990,3,female,1
991,3,male,0
992,1,female,1
993,2,male,0
994,3,male,0
995,3,male,0
996,3,female,1
997,3,male,0
998,3,male,0
999,3,male,0
1000,3,male,0
1001,2,male,0
1002,2,male,0
1003,3,female,1
1004,1,female,1
1005,3,female,1
1006,1,female,1
1007,3,male,0
1008,3,male,0
1009,3,female,1
1010,1,male,0
1011,2,female,1
1012,2,female,1
1013,3,male,0
1014,1,female,1
1015,3,male,0
1016,3,male,0
1017,3,female,1
1018,3,male,0
1019,3,female,1
1020,2,male,0
1021,3,male,0
1022,3,male,0
1023,1,male,0
1024,3,female,1
1025,3,male,0
1026,3,male,0
1027,3,male,0
1028,3,male,0
1029,2,male,0
1030,3,female,1
1031,3,male,0
1032,3,female,1
1033,1,female,1
1034,1,male,0
1035,2,male,0
1036,1,male,0
1037,3,male,0
1038,1,male,0
1039,3,male,0
1040,1,male,0
1041,2,male,0
1042,1,female,1
1043,3,male,0
1044,3,male,0
1045,3,female,1
1046,3,male,0
1047,3,male,0
1048,1,female,1
1049,3,female,1
1050,1,male,0
1051,3,female,1
1052,3,female,1
1053,3,male,0
1054,2,female,1
1055,3,male,0
1056,2,male,0
1057,3,female,1
1058,1,male,0
1059,3,male,0
1060,1,female,1
1061,3,female,1
